关注房源人数,总价,平米价,精简装,面积,建造时间,室,厅,小区名称,所在大区域,所在小区域,建筑类型,建筑结构,梯户比例,梯,户,产权年限,户型结构,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲,经度,纬度
250,106.8,14173.9,精,75.35,2006.0,2.0,2.0,锦城园C区$,沙河口,锦华$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,1,1,121.55444937143483,38.952351750646535
39,56.0,8582.4,精,65.25,2000.0,2.0,2.0,金湖里$,开发区,倚山里$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,1,0,0,0,0,0,0,0,121.80202386746004,39.05247226871288
164,86.0,12647.1,精,68.0,2003.0,2.0,1.0,华东路（山东路商圈）$,甘井子,山东路$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.60240654384825,38.996596707469664
196,128.0,12733.8,简,100.52,2012.0,2.0,1.0,华润海中国二期$,开发区,华润海中国$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,0,0,1,0,1,1,0,0,0,1,121.75727920982158,39.04282909035126
35,96.0,11428.6,简,84.0,2008.0,2.0,1.0,今都小区$,甘井子,华东$,板塔结合$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.61488673733228,38.98594333197553
53,115.0,14773.9,精,77.84,2010.0,2.0,1.0,远洋自然$,甘井子,华南$,板塔结合$,钢混,0.5,2.0,4.0,70.0,平层,0,1,0,0,0,0,0,0,1,1,121.60144438049448,39.01043700992075
61,55.0,11282.1,简,48.75,1990.0,2.0,1.0,星海公园$,沙河口,孙家沟$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,1,1,0,0,0,1,121.5741110395726,38.88415578390394
27,119.0,13632.7,精,87.29,2005.0,2.0,1.0,山海一家一期$,高新园区,华录$,塔楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,1,0,1,1,0,1,1,1,0,0
64,133.0,8717.9,精,152.56,1999.0,5.0,2.0,纪念东巷$,西岗,唐山街$,板楼$,框架,0.3333333333333333,1.0,3.0,70.0,跃层,0,0,1,0,0,0,0,0,0,0,0,0
108,115.0,15648.4,精,73.49,2007.0,2.0,1.0,隽佳欣苑$,甘井子,机场$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,0,1,0,1,0,0,0,0,1,121.5644860580503,38.964645376017806
20,85.8,10931.3,精,78.49,2000.0,2.0,1.0,商城花园$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.5924145003217,38.975623911966714
15,61.0,9849.8,简,61.93,2003.0,2.0,1.0,泡崖美林园$,甘井子,美林园$,板楼$,混合,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.52588921557629,38.97887829733051
113,78.2,14218.2,精,55.0,,2.0,1.0,黑石礁$,沙河口,黑石礁$,板楼$,钢混,0.16666666666666666,1.0,6.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,122.70541021855497,39.22409722493003
310,69.8,10542.2,精,66.21,1998.0,2.0,1.0,桃山小区$,沙河口,南沙$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,0,0,0,0,1,121.57185447367391,38.90203187667108
53,88.0,10526.3,精,83.6,1997.0,2.0,2.0,西苑小区$,沙河口,马栏$,板楼$,砖混,0.2,1.0,5.0,70.0,平层,0,1,1,0,1,1,0,0,1,1,0,0
40,30.0,6503.4,精,46.13,2005.0,1.0,0.0,东城天下$,开发区,东城$,板楼$,钢混,0.25,3.0,12.0,50.0,平层,0,0,1,1,1,1,0,0,1,0,121.84724109218661,39.07191843110481
44,105.0,14114.8,精,74.39,1990.0,2.0,1.0,兴工街$,沙河口,西安路$,板楼$,钢混,0.2,1.0,5.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.5929379519254,38.92461395510886
32,65.0,11640.4,简,55.84,1993.0,2.0,1.0,侯一小区$,沙河口,侯家沟$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,0,0,0,0,1,1,121.58538099455156,38.93671712630814
86,92.5,11463.6,简,80.69,2007.0,2.0,2.0,锦泉源D3区$,甘井子,泉水锦泉源$,板楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,0,1,0,0,0,0,0,0,121.61768702509855,39.01348308242818
395,127.0,16188.7,精,78.45,2003.0,2.0,1.0,壹品星海公寓$,沙河口,星海广场$,板塔结合$,钢混,0.16666666666666666,3.0,18.0,70.0,暂无数据,0,1,1,0,1,1,0,0,1,0,121.5849286034052,38.88638015449039
196,195.0,19539.1,简,99.8,1998.0,3.0,1.0,79中永平$,沙河口,中山公园$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,1,99.54749489993098,25.470206483299727
71,67.0,7770.8,简,86.22,1999.0,2.0,1.0,新船巷$,西岗,新起屯$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,1,1,0,1,0,121.64113312858709,38.89409752726363
98,115.0,8092.9,毛,142.1,2015.0,3.0,2.0,世茂御龙海湾$,金州,金州其他$,未知$,钢混,0.0,0.0,0.0,70.0,跃层,0,0,1,0,0,0,1,0,1,1,121.64875099197283,39.18012336992442
102,182.0,15997.2,精,113.77,2012.0,3.0,1.0,第8区$,高新园区,中海$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,0,0
75,48.0,5974.6,精,80.34,2000.0,2.0,1.0,山河嘉园$,开发区,东城$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.84978189721987,39.08495210269467
92,56.0,11006.3,精,50.88,2008.0,1.0,1.0,加州洋房$,甘井子,华南$,板楼$,钢混,0.1176470588235294,2.0,17.0,40.0,平层,0,1,1,0,0,1,0,0,1,1,121.58277557350466,38.99849177442112
63,115.0,11756.3,简,97.82,2000.0,2.0,2.0,北京街南$,西岗,北京公园$,塔楼$,钢混,0.07142857142857142,1.0,14.0,70.0,平层,0,1,1,0,0,0,0,0,0,0,121.61915622711606,38.921048674096255
20,135.0,12857.1,精,105.0,2016.0,3.0,2.0,金地檀境$,甘井子,前关$,板楼$,钢混,0.16666666666666666,1.0,6.0,70.0,平层,0,0,1,0,1,1,0,0,1,1,121.66088216052893,39.041183728376204
165,74.5,12396.0,简,60.1,2005.0,2.0,1.0,部居逸阁$,中山,武昌街$,板楼$,钢混,0.1,1.0,10.0,70.0,平层,0,0,1,0,1,0,0,0,0,1,121.65267943198499,38.91209651886313
93,49.8,9810.9,简,50.76,1998.0,2.0,1.0,绿波B区$,沙河口,春柳$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.57786692946918,38.938943001346765
62,43.0,8245.4,精,52.15,2008.0,1.0,1.0,加州洋房$,甘井子,华南$,板楼$,钢混,0.1176470588235294,2.0,17.0,40.0,平层,0,1,1,0,0,1,0,0,1,1,121.58277557350466,38.99849177442112
41,82.0,8630.7,精,95.01,1996.0,2.0,1.0,锦云南园$,沙河口,锦绣$,板楼$,砖混,0.25,1.0,4.0,70.0,平层,0,0,0,0,1,0,1,0,0,1,121.56156224878491,38.94430234858559
34,65.0,8318.4,精,78.14,1998.0,2.0,2.0,高民里$,开发区,高城山$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,0,0,1,1,1,0,1,0,121.83380099368887,39.070170524629006
44,103.0,14607.9,精,70.51,2003.0,2.0,1.0,盛世闲庭$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,0,121.5793230916839,38.9794939884365
62,108.0,15109.1,简,71.48,2006.0,2.0,1.0,阳光月秀$,沙河口,阳光月秀$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,1,0,0,1,1,121.5760348228053,38.934825492099485
32,66.9,12071.5,精,55.42,1993.0,2.0,1.0,北昌平小区$,沙河口,西安路$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.5911292515099,38.920481531719446
169,79.0,15233.3,精,51.86,2013.0,1.0,1.0,亿达天琴山$,西岗,石道街$,板楼$,钢混,0.2222222222222222,2.0,9.0,40.0,平层,0,0,0,0,0,0,0,1,0,0,121.6189161217312,38.912480603138185
18,122.0,14074.8,精,86.68,2012.0,3.0,2.0,万科魅力之城$,甘井子,魅力之城$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.52256275973045,38.996118699254794
194,48.0,7986.7,毛,60.1,2012.0,1.0,0.0,MINI印象$,高新园区,高新园区$,塔楼$,钢混,0.125,6.0,48.0,40.0,平层,0,1,0,0,0,0,0,0,0,0,121.53094001196717,38.86464631837938
103,49.8,11759.1,精,42.35,1993.0,2.0,1.0,春风巷$,沙河口,春柳$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.58405899695966,38.946739999068726
217,40.0,10473.9,精,38.19,1994.0,1.0,1.0,香炉礁$,西岗,香炉礁$,塔楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,1,1,1,1,0,1,0,121.62212843708234,38.950923584890575
26,134.8,14714.6,精,91.61,2012.0,3.0,2.0,万科魅力之城$,甘井子,魅力之城$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,0,0,0,0,0,0,121.52256275973045,38.996118699254794
15,117.6,15000.0,简,78.4,2004.0,3.0,1.0,千山心城$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.57869821060844,38.98266707097553
17,79.5,12104.1,精,65.68,2003.0,2.0,1.0,千山心城$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,跃层,0,1,0,0,1,1,0,0,1,0,121.57869821060844,38.98266707097553
36,178.0,22855.7,简,77.88,2015.0,2.0,1.0,东方圣克拉三期$,高新园区,庙岭$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.53339332204376,38.90317970824006
134,110.0,12267.2,精,89.67,2010.0,2.0,1.0,依云溪谷$,甘井子,溪之谷$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,1,0,0,1,0,1,121.48418043800203,38.92113328132571
112,130.0,16181.2,精,80.34,2005.0,2.0,1.0,新新园二期$,高新园区,庙岭$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,1,1,1,121.53293285692749,38.89360478728939
58,139.0,13113.2,精,106.0,2012.0,3.0,2.0,万科溪之谷$,甘井子,溪之谷$,板楼$,钢混,0.5,2.0,4.0,70.0,跃层,0,0,0,0,0,0,0,0,0,0,121.48045379064472,38.91483322778244
20,153.0,18115.1,精,84.46,2010.0,2.0,2.0,星海大观$,沙河口,星海广场$,板楼$,钢混,0.5,5.0,10.0,70.0,平层,0,1,0,0,0,0,0,0,0,1,121.59892136640185,38.893314197227234
187,108.0,15428.6,精,70.0,1993.0,2.0,2.0,星海公园$,沙河口,孙家沟$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,1,0,0,0,0,0,0,121.5741110395726,38.88415578390394
25,115.0,14232.7,精,80.8,2016.0,2.0,1.0,华润海中国六期$,开发区,华润海中国$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,1,0,1,0,1,0,1,0,1,1,121.76805600136368,39.04110807394385
15,75.0,10725.0,简,69.93,1995.0,2.0,1.0,锦江园$,沙河口,锦绣$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,1,1,0,0,0,0,121.56646971873508,38.950666299910104
40,113.5,10898.8,简,104.14,1998.0,3.0,2.0,绿波B区$,沙河口,春柳$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.57786692946918,38.938943001346765
144,145.0,18415.0,精,78.74,2009.0,2.0,2.0,哈佛映像$,高新园区,凌水$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.5150872562087,38.882268777632284
192,66.0,14282.6,精,46.21,2006.0,1.0,0.0,city one$,高新园区,one$所在区域:高新园区 软件园$,板楼$,钢混,0.06,3.0,50.0,70.0,平层,0,1,0,0,1,1,0,0,0,1,121.62163148459285,38.9189536667856
20,132.8,14791.7,精,89.78,2009.0,2.0,2.0,泉水家年华$,甘井子,泉水美域盛景$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,1,1,1,0,0,1,1,121.62977789297456,39.01625356593743
49,55.0,8785.9,简,62.6,2008.0,2.0,1.0,城润万家$,开发区,城润$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,0,0,0,1,1,0,0,0,0,0,121.75486958883346,39.060070069002506
45,160.0,18643.7,精,85.82,2014.0,2.0,1.0,亿达普罗旺斯二期$,高新园区,普罗旺斯$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.49345999680148,38.858402104460424
30,62.8,17517.4,精,35.85,2004.0,2.0,1.0,东特新天地$,甘井子,周水子$,板楼$,钢混,0.08333333333333333,2.0,24.0,70.0,复式,0,0,0,0,0,0,0,0,0,0,121.56984344341686,38.952802573071764
38,107.0,15285.7,精,70.0,2005.0,2.0,1.0,山海一家一期$,高新园区,华录$,塔楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,1,1,0,0,0,0,1,0,0,0
26,129.0,10473.3,精,123.17,2009.0,3.0,1.0,湖畔嘉园$,金州,碧海$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.73088555305637,39.10839695418269
68,125.0,22727.3,简,55.0,1993.0,2.0,1.0,39中明阳街$,中山,三八南$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,0,0,0,0,0,1,121.66476937640293,38.920629698466094
75,70.0,11496.1,精,60.89,2009.0,2.0,1.0,鑫境界$,甘井子,机场$,板楼$,钢混,0.1,2.0,20.0,40.0,平层,0,1,0,0,0,0,0,0,0,0,121.55214430781825,38.960410110943705
25,181.0,20122.3,精,89.95,2013.0,2.0,2.0,缇香漫城$,甘井子,机场乐购$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.5293043413624,38.96466139870839
50,162.0,19290.3,精,83.98,2009.0,2.0,2.0,中海英伦观邸$,沙河口,绿波$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,0,0,0,0,1,1,121.56527978373113,38.94229329435486
49,99.8,15540.3,精,64.22,2012.0,1.0,1.0,美辰香醒$,甘井子,华东$,板楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,1,0,1,1,0,0,1,0,121.60381564473562,38.99047397562602
67,195.0,18932.0,简,103.0,2007.0,2.0,1.0,运达嘉洲阳光$,中山,二七$,板楼$,框架,0.5,2.0,4.0,70.0,平层,0,1,1,0,0,0,0,0,1,1,121.67524697022714,38.92904100323863
45,77.5,11397.1,精,68.0,2012.0,2.0,1.0,红星海三期境界$,开发区,红星海$,板楼$,钢混,0.375,3.0,8.0,50.0,平层,0,0,1,0,0,1,0,0,0,0,121.80196999877353,39.0295960874216
62,380.0,29468.8,简,128.95,2002.0,3.0,2.0,南山苑$,中山,三八南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,1,1,121.66694396473741,38.918367298843066
45,91.0,11610.1,精,78.38,2007.0,2.0,1.0,泊林和山$,甘井子,叠翠$,塔楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,1,1,0,0,1,0,121.54218711764717,38.92402111742112
23,110.0,12359.6,简,89.0,2003.0,2.0,1.0,泡崖美林园$,甘井子,美林园$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,1,0,0,1,1,121.52588921557629,38.97887829733051
36,168.0,8764.6,精,191.68,2005.0,4.0,2.0,东城天下$,开发区,东城$,板楼$,钢混,0.3333333333333333,1.0,3.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.84724109218661,39.07191843110481
81,69.8,11816.5,精,59.07,2012.0,2.0,1.0,君悦晟景$,甘井子,叠翠$,板楼$,钢混,0.125,1.0,8.0,70.0,平层,0,1,1,0,1,1,0,0,1,0,121.53731203789877,38.91364837532266
28,156.0,13805.3,精,113.0,2012.0,3.0,1.0,华润海中国二期$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,1,0,1,1,0,0,0,1,121.75727920982158,39.04282909035126
24,263.0,21988.1,精,119.61,2005.0,3.0,2.0,弘基三期$,高新园区,学府$,板楼$,钢混,1.0,2.0,2.0,70.0,平层,1,1,0,0,0,0,0,0,1,1,0,0
16,209.0,22000.0,精,95.0,2009.0,2.0,1.0,金寓花园四期$,甘井子,机场$,板楼$,钢,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.55429881543137,38.95928719919636
37,81.0,9152.5,简,88.5,2010.0,2.0,2.0,金润小区B区$,金州,金润$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,1,0,0,1,121.74665495055505,39.103153105120306
28,289.0,14725.4,精,196.26,2000.0,3.0,2.0,丰源海景$,中山,景山$,板楼$,钢混,0.5,1.0,2.0,70.0,跃层,0,0,1,0,1,0,0,0,0,1,0,0
47,126.8,16196.2,精,78.29,2007.0,2.0,1.0,西山阳光水岸$,甘井子,万科假日$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,0,0,1,0,121.52241194411668,38.93851028637249
23,115.0,13358.1,简,86.09,2009.0,2.0,2.0,万国宫馆二期$,开发区,红梅翠竹$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,1,1,1,1,1,0,1,0,121.75888888346489,39.046487948746986
48,80.0,11101.9,简,72.06,1999.0,2.0,1.0,锦霞北园$,沙河口,锦华$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,0,0,1,1,121.5525485875181,38.95006883337896
44,70.0,16982.0,精,41.22,2012.0,1.0,1.0,益嘉广场$,沙河口,马栏$,板楼$,钢混,0.16666666666666666,2.0,12.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.56100407946984,38.92546552027435
16,90.0,10244.7,毛,87.85,2012.0,2.0,2.0,福佳新城$,甘井子,前关$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,1,1,1,0,0,0,1,121.67365804564446,39.03139348503094
67,252.0,22467.9,简,112.16,1998.0,3.0,2.0,39中南山花园$,中山,三八南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,0,0
45,99.5,12489.0,精,79.67,1999.0,3.0,2.0,香炉礁$,西岗,香炉礁$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,1,0,0,0,121.62212843708234,38.950923584890575
93,95.0,13281.1,简,71.53,2004.0,2.0,2.0,华兴山庄$,高新园区,凌水$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.51276175075195,38.88566533950871
29,118.0,13720.9,精,86.0,2013.0,2.0,1.0,华润海中国三期$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,1,0,1,1,0,0,1,1,121.76150942389182,39.04231605807281
108,122.0,11420.0,精,106.83,2000.0,3.0,1.0,千山路$,甘井子,山东路$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,1,1,0,0,1,0,121.58814421643585,38.98528697769128
103,193.0,20127.2,简,95.89,2010.0,2.0,1.0,北京公园$,西岗,北京公园$,板楼$,钢混,0.5,1.0,2.0,40.0,平层,0,1,1,0,1,1,0,0,1,1,121.61976145596186,38.926665815630805
177,139.0,17935.5,毛,77.5,2016.0,2.0,2.0,中铁诺德滨海花园$,高新园区,七贤岭$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.5131418229149,38.86371427439674
120,38.0,8064.5,简,47.12,2005.0,1.0,1.0,部居逸阁$,中山,武昌街$,板楼$,钢混,0.1,1.0,10.0,70.0,平层,0,0,1,0,1,0,0,0,0,1,121.65267943198499,38.91209651886313
46,266.0,14348.9,毛,185.38,2015.0,3.0,2.0,中海海港城$,中山,民主广场$,板楼$,钢混,1.0,3.0,3.0,0.0,平层,1,1,0,0,0,0,0,0,0,0,121.66316549683015,38.935152364310724
21,150.0,15921.9,精,94.21,2016.0,3.0,2.0,中航华府$,甘井子,体育新城$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,0,0,0,0,0,121.55968360809901,39.014867745056534
16,81.9,7726.4,精,106.0,2003.0,2.0,2.0,青松南里$,开发区,红梅翠竹$,板楼$,钢混,0.25,2.0,8.0,50.0,平层,0,0,0,0,0,0,0,0,1,0,121.76474208855765,39.04758773975601
44,113.0,12696.6,简,89.0,2009.0,2.0,1.0,万国宫馆一期$,开发区,红梅翠竹$,板楼$,钢混,0.4,2.0,5.0,50.0,平层,0,0,1,0,1,0,0,0,1,0,121.75888535042932,39.04527736616778
28,47.5,9058.0,精,52.44,2000.0,2.0,1.0,荷塘悦色$,旅顺口,龙王塘$,板楼$,钢混,0.14285714285714285,1.0,7.0,70.0,平层,0,1,1,1,1,0,0,0,1,1,113.18045222006695,27.862155809140553
21,133.0,12923.9,精,102.91,1997.0,2.0,2.0,阳光花园一期$,中山,中南$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,1,0,121.71411832498364,39.73798907028787
15,360.0,26897.8,精,133.84,2013.0,3.0,2.0,中海紫御观邸一期$,高新园区,中海$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,1,0,121.52783500459905,38.87082611585169
13,73.0,8784.6,简,83.1,2006.0,2.0,2.0,职高小区$,金州,光明$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.71639192904297,39.10952899448941
149,178.0,19487.6,简,91.34,2015.0,3.0,2.0,中铁诺德滨海花园$,高新园区,七贤岭$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.51382808610418,38.86160076179367
35,149.8,14549.3,精,102.96,2013.0,3.0,2.0,枫丹丽城$,甘井子,泉水美域盛景$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,0,1,1,0,0,0,0,1,121.62045416539148,39.01004692564209
68,86.6,13081.6,精,66.2,2008.0,2.0,1.0,水映西山$,甘井子,万科假日$,塔楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,0,0,0,1,1,102.67155712350362,25.043198760946844
227,97.0,13566.4,精,71.5,2005.0,2.0,1.0,锦泉源D2区$,甘井子,泉水锦泉源$,板楼$,钢混,0.2,2.0,10.0,70.0,平层,0,1,1,1,1,1,0,0,1,1,121.61768702509855,39.01348308242818
98,29.5,4126.5,毛,71.49,,2.0,1.0,翠岫联芳$,旅顺口,旅顺口$,板楼$,钢混,16.0,16.0,1.0,70.0,平层,0,0,0,0,1,0,0,0,1,0,121.31629783161593,38.850180286276256
13,133.0,12116.2,简,109.77,2000.0,3.0,2.0,红旗东路$,甘井子,马栏$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.55447998029678,38.92936160603863
54,93.0,12043.5,精,77.22,2014.0,2.0,2.0,万科樱花园$,旅顺口,龙王塘$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,0,0,0,0,1,1,121.40923887503531,38.84886550105036
150,210.0,25149.7,精,83.5,2011.0,2.0,1.0,东方圣克拉二期$,高新园区,庙岭$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,0,0,0,0,1,1,121.53509518249345,38.902671091506555
20,116.0,11800.6,毛,98.3,1997.0,2.0,2.0,卧龙双厦$,西岗,青云街$,板楼$,钢混,0.25,2.0,8.0,70.0,平层,0,0,1,0,1,1,0,0,1,0,121.65817599002757,38.89428406963415
46,85.0,9066.7,毛,93.75,2009.0,2.0,2.0,泉水N1区$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,3.0,6.0,70.0,平层,0,1,1,1,1,0,0,0,0,0,121.64195088573689,39.02260164012546
57,81.5,13581.1,精,60.01,2000.0,2.0,1.0,前程街$,甘井子,马栏$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,1,0,0,1,121.5546274793666,38.93222264581343
36,273.0,19008.5,简,143.62,2003.0,3.0,2.0,清华园(中山)$,中山,二七$,板楼$,框架,0.5,1.0,2.0,70.0,错层,0,1,1,0,1,1,0,0,1,0,121.67053859532035,38.930403700718124
