关注房源人数,总价,平米价,精简装,面积,建造时间,室,厅,小区名称,所在大区域,所在小区域,建筑类型,建筑结构,梯户比例,梯,户,产权年限,户型结构,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲
113,78.2,14218.2,精,55.0,,2.0,1.0,黑石礁$,沙河口,黑石礁$,板楼$,钢混,0.16666666666666666,1.0,6.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
310,69.8,10542.2,精,66.21,1998.0,2.0,1.0,桃山小区$,沙河口,南沙$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,0,0,0,0,1
53,88.0,10526.3,精,83.6,1997.0,2.0,2.0,西苑小区$,沙河口,马栏$,板楼$,砖混,0.2,1.0,5.0,70.0,平层,0,1,1,0,1,1,0,0,1,1
40,30.0,6503.4,精,46.13,2005.0,1.0,0.0,东城天下$,开发区,东城$,板楼$,钢混,0.25,3.0,12.0,50.0,平层,0,0,1,1,1,1,0,0,1,0
44,105.0,14114.8,精,74.39,1990.0,2.0,1.0,兴工街$,沙河口,西安路$,板楼$,钢混,0.2,1.0,5.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
32,65.0,11640.4,简,55.84,1993.0,2.0,1.0,侯一小区$,沙河口,侯家沟$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,0,0,0,0,1,1
86,92.5,11463.6,简,80.69,2007.0,2.0,2.0,锦泉源D3区$,甘井子,泉水锦泉源$,板楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,0,1,0,0,0,0,0,0
395,127.0,16188.7,精,78.45,2003.0,2.0,1.0,壹品星海公寓$,沙河口,星海广场$,板塔结合$,钢混,0.16666666666666666,3.0,18.0,70.0,暂无数据,0,1,1,0,1,1,0,0,1,0
196,195.0,19539.1,简,99.8,1998.0,3.0,1.0,79中永平$,沙河口,中山公园$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,1
71,67.0,7770.8,简,86.22,1999.0,2.0,1.0,新船巷$,西岗,新起屯$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,1,1,0,1,0
98,115.0,8092.9,毛,142.1,2015.0,3.0,2.0,世茂御龙海湾$,金州,金州其他$,未知$,钢混,0.0,0.0,0.0,70.0,跃层,0,0,1,0,0,0,1,0,1,1
102,182.0,15997.2,精,113.77,2012.0,3.0,1.0,第8区$,高新园区,中海$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,1,1,0,0,0,1
75,48.0,5974.6,精,80.34,2000.0,2.0,1.0,山河嘉园$,开发区,东城$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,0,0,0,0,0,0,0,0
92,56.0,11006.3,精,50.88,2008.0,1.0,1.0,加州洋房$,甘井子,华南$,板楼$,钢混,0.1176470588235294,2.0,17.0,40.0,平层,0,1,1,0,0,1,0,0,1,1
63,115.0,11756.3,简,97.82,2000.0,2.0,2.0,北京街南$,西岗,北京公园$,塔楼$,钢混,0.07142857142857142,1.0,14.0,70.0,平层,0,1,1,0,0,0,0,0,0,0
20,135.0,12857.1,精,105.0,2016.0,3.0,2.0,金地檀境$,甘井子,前关$,板楼$,钢混,0.16666666666666666,1.0,6.0,70.0,平层,0,0,1,0,1,1,0,0,1,1
165,74.5,12396.0,简,60.1,2005.0,2.0,1.0,部居逸阁$,中山,武昌街$,板楼$,钢混,0.1,1.0,10.0,70.0,平层,0,0,1,0,1,0,0,0,0,1
93,49.8,9810.9,简,50.76,1998.0,2.0,1.0,绿波B区$,沙河口,春柳$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
62,43.0,8245.4,精,52.15,2008.0,1.0,1.0,加州洋房$,甘井子,华南$,板楼$,钢混,0.1176470588235294,2.0,17.0,40.0,平层,0,1,1,0,0,1,0,0,1,1
41,82.0,8630.7,精,95.01,1996.0,2.0,1.0,锦云南园$,沙河口,锦绣$,板楼$,砖混,0.25,1.0,4.0,70.0,平层,0,0,0,0,1,0,1,0,0,1
34,65.0,8318.4,精,78.14,1998.0,2.0,2.0,高民里$,开发区,高城山$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,0,0,1,1,1,0,1,0
44,103.0,14607.9,精,70.51,2003.0,2.0,1.0,盛世闲庭$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,0
62,108.0,15109.1,简,71.48,2006.0,2.0,1.0,阳光月秀$,沙河口,阳光月秀$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,1,0,0,1,1
32,66.9,12071.5,精,55.42,1993.0,2.0,1.0,北昌平小区$,沙河口,西安路$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
169,79.0,15233.3,精,51.86,2013.0,1.0,1.0,亿达天琴山$,西岗,石道街$,板楼$,钢混,0.2222222222222222,2.0,9.0,40.0,平层,0,0,0,0,0,0,0,1,0,0
18,122.0,14074.8,精,86.68,2012.0,3.0,2.0,万科魅力之城$,甘井子,魅力之城$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
194,48.0,7986.7,毛,60.1,2012.0,1.0,0.0,MINI印象$,高新园区,高新园区$,塔楼$,钢混,0.125,6.0,48.0,40.0,平层,0,1,0,0,0,0,0,0,0,0
103,49.8,11759.1,精,42.35,1993.0,2.0,1.0,春风巷$,沙河口,春柳$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
217,40.0,10473.9,精,38.19,1994.0,1.0,1.0,香炉礁$,西岗,香炉礁$,塔楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,1,1,1,1,0,1,0
26,134.8,14714.6,精,91.61,2012.0,3.0,2.0,万科魅力之城$,甘井子,魅力之城$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,0,0,0,0,0,0
15,117.6,15000.0,简,78.4,2004.0,3.0,1.0,千山心城$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,1
17,79.5,12104.1,精,65.68,2003.0,2.0,1.0,千山心城$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,跃层,0,1,0,0,1,1,0,0,1,0
36,178.0,22855.7,简,77.88,2015.0,2.0,1.0,东方圣克拉三期$,高新园区,庙岭$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
134,110.0,12267.2,精,89.67,2010.0,2.0,1.0,依云溪谷$,甘井子,溪之谷$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,1,0,0,1,0,1
112,130.0,16181.2,精,80.34,2005.0,2.0,1.0,新新园二期$,高新园区,庙岭$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,1,1,1
58,139.0,13113.2,精,106.0,2012.0,3.0,2.0,万科溪之谷$,甘井子,溪之谷$,板楼$,钢混,0.5,2.0,4.0,70.0,跃层,0,0,0,0,0,0,0,0,0,0
20,153.0,18115.1,精,84.46,2010.0,2.0,2.0,星海大观$,沙河口,星海广场$,板楼$,钢混,0.5,5.0,10.0,70.0,平层,0,1,0,0,0,0,0,0,0,1
187,108.0,15428.6,精,70.0,1993.0,2.0,2.0,星海公园$,沙河口,孙家沟$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,1,0,0,0,0,0,0
25,115.0,14232.7,精,80.8,2016.0,2.0,1.0,华润海中国六期$,开发区,华润海中国$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,1,0,1,0,1,0,1,0,1,1
15,75.0,10725.0,简,69.93,1995.0,2.0,1.0,锦江园$,沙河口,锦绣$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,1,1,0,0,0,0
40,113.5,10898.8,简,104.14,1998.0,3.0,2.0,绿波B区$,沙河口,春柳$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
144,145.0,18415.0,精,78.74,2009.0,2.0,2.0,哈佛映像$,高新园区,凌水$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1
192,66.0,14282.6,精,46.21,2006.0,1.0,0.0,city one$,高新园区,one$所在区域:高新园区 软件园$,板楼$,钢混,0.06,3.0,50.0,70.0,平层,0,1,0,0,1,1,0,0,0,1
20,132.8,14791.7,精,89.78,2009.0,2.0,2.0,泉水家年华$,甘井子,泉水美域盛景$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,1,1,1,0,0,1,1
49,55.0,8785.9,简,62.6,2008.0,2.0,1.0,城润万家$,开发区,城润$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,0,0,0,1,1,0,0,0,0,0
45,160.0,18643.7,精,85.82,2014.0,2.0,1.0,亿达普罗旺斯二期$,高新园区,普罗旺斯$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
30,62.8,17517.4,精,35.85,2004.0,2.0,1.0,东特新天地$,甘井子,周水子$,板楼$,钢混,0.08333333333333333,2.0,24.0,70.0,复式,0,0,0,0,0,0,0,0,0,0
38,107.0,15285.7,精,70.0,2005.0,2.0,1.0,山海一家一期$,高新园区,华录$,塔楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,1,1,0,0,0,0,1,0
26,129.0,10473.3,精,123.17,2009.0,3.0,1.0,湖畔嘉园$,金州,碧海$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
68,125.0,22727.3,简,55.0,1993.0,2.0,1.0,39中明阳街$,中山,三八南$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,0,0,0,0,0,1
75,70.0,11496.1,精,60.89,2009.0,2.0,1.0,鑫境界$,甘井子,机场$,板楼$,钢混,0.1,2.0,20.0,40.0,平层,0,1,0,0,0,0,0,0,0,0
25,181.0,20122.3,精,89.95,2013.0,2.0,2.0,缇香漫城$,甘井子,机场乐购$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1
50,162.0,19290.3,精,83.98,2009.0,2.0,2.0,中海英伦观邸$,沙河口,绿波$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,0,0,0,0,1,1
49,99.8,15540.3,精,64.22,2012.0,1.0,1.0,美辰香醒$,甘井子,华东$,板楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,1,0,1,1,0,0,1,0
67,195.0,18932.0,简,103.0,2007.0,2.0,1.0,运达嘉洲阳光$,中山,二七$,板楼$,框架,0.5,2.0,4.0,70.0,平层,0,1,1,0,0,0,0,0,1,1
45,77.5,11397.1,精,68.0,2012.0,2.0,1.0,红星海三期境界$,开发区,红星海$,板楼$,钢混,0.375,3.0,8.0,50.0,平层,0,0,1,0,0,1,0,0,0,0
62,380.0,29468.8,简,128.95,2002.0,3.0,2.0,南山苑$,中山,三八南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,1,1
45,91.0,11610.1,精,78.38,2007.0,2.0,1.0,泊林和山$,甘井子,叠翠$,塔楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,1,1,0,0,1,0
23,110.0,12359.6,简,89.0,2003.0,2.0,1.0,泡崖美林园$,甘井子,美林园$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,1,0,0,1,1
36,168.0,8764.6,精,191.68,2005.0,4.0,2.0,东城天下$,开发区,东城$,板楼$,钢混,0.3333333333333333,1.0,3.0,50.0,平层,0,0,0,0,0,0,0,0,0,0
81,69.8,11816.5,精,59.07,2012.0,2.0,1.0,君悦晟景$,甘井子,叠翠$,板楼$,钢混,0.125,1.0,8.0,70.0,平层,0,1,1,0,1,1,0,0,1,0
28,156.0,13805.3,精,113.0,2012.0,3.0,1.0,华润海中国二期$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,1,0,1,1,0,0,0,1
24,263.0,21988.1,精,119.61,2005.0,3.0,2.0,弘基三期$,高新园区,学府$,板楼$,钢混,1.0,2.0,2.0,70.0,平层,1,1,0,0,0,0,0,0,1,1
16,209.0,22000.0,精,95.0,2009.0,2.0,1.0,金寓花园四期$,甘井子,机场$,板楼$,钢,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,1
37,81.0,9152.5,简,88.5,2010.0,2.0,2.0,金润小区B区$,金州,金润$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,1,0,0,1
28,289.0,14725.4,精,196.26,2000.0,3.0,2.0,丰源海景$,中山,景山$,板楼$,钢混,0.5,1.0,2.0,70.0,跃层,0,0,1,0,1,0,0,0,0,1
47,126.8,16196.2,精,78.29,2007.0,2.0,1.0,西山阳光水岸$,甘井子,万科假日$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,0,0,1,0
23,115.0,13358.1,简,86.09,2009.0,2.0,2.0,万国宫馆二期$,开发区,红梅翠竹$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,1,1,1,1,1,0,1,0
48,80.0,11101.9,简,72.06,1999.0,2.0,1.0,锦霞北园$,沙河口,锦华$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,0,0,1,1
44,70.0,16982.0,精,41.22,2012.0,1.0,1.0,益嘉广场$,沙河口,马栏$,板楼$,钢混,0.16666666666666666,2.0,12.0,70.0,平层,0,1,1,0,1,1,0,0,0,1
16,90.0,10244.7,毛,87.85,2012.0,2.0,2.0,福佳新城$,甘井子,前关$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,1,1,1,0,0,0,1
67,252.0,22467.9,简,112.16,1998.0,3.0,2.0,39中南山花园$,中山,三八南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
45,99.5,12489.0,精,79.67,1999.0,3.0,2.0,香炉礁$,西岗,香炉礁$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,1,0,0,0
93,95.0,13281.1,简,71.53,2004.0,2.0,2.0,华兴山庄$,高新园区,凌水$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1
29,118.0,13720.9,精,86.0,2013.0,2.0,1.0,华润海中国三期$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,0,0,1,0,1,1,0,0,1,1
108,122.0,11420.0,精,106.83,2000.0,3.0,1.0,千山路$,甘井子,山东路$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,1,1,0,0,1,0
103,193.0,20127.2,简,95.89,2010.0,2.0,1.0,北京公园$,西岗,北京公园$,板楼$,钢混,0.5,1.0,2.0,40.0,平层,0,1,1,0,1,1,0,0,1,1
177,139.0,17935.5,毛,77.5,2016.0,2.0,2.0,中铁诺德滨海花园$,高新园区,七贤岭$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1
120,38.0,8064.5,简,47.12,2005.0,1.0,1.0,部居逸阁$,中山,武昌街$,板楼$,钢混,0.1,1.0,10.0,70.0,平层,0,0,1,0,1,0,0,0,0,1
46,266.0,14348.9,毛,185.38,2015.0,3.0,2.0,中海海港城$,中山,民主广场$,板楼$,钢混,1.0,3.0,3.0,0.0,平层,1,1,0,0,0,0,0,0,0,0
21,150.0,15921.9,精,94.21,2016.0,3.0,2.0,中航华府$,甘井子,体育新城$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,0,0,0,0,0
16,81.9,7726.4,精,106.0,2003.0,2.0,2.0,青松南里$,开发区,红梅翠竹$,板楼$,钢混,0.25,2.0,8.0,50.0,平层,0,0,0,0,0,0,0,0,1,0
44,113.0,12696.6,简,89.0,2009.0,2.0,1.0,万国宫馆一期$,开发区,红梅翠竹$,板楼$,钢混,0.4,2.0,5.0,50.0,平层,0,0,1,0,1,0,0,0,1,0
28,47.5,9058.0,精,52.44,2000.0,2.0,1.0,荷塘悦色$,旅顺口,龙王塘$,板楼$,钢混,0.14285714285714285,1.0,7.0,70.0,平层,0,1,1,1,1,0,0,0,1,1
21,133.0,12923.9,精,102.91,1997.0,2.0,2.0,阳光花园一期$,中山,中南$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,1,0
15,360.0,26897.8,精,133.84,2013.0,3.0,2.0,中海紫御观邸一期$,高新园区,中海$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,1,0
13,73.0,8784.6,简,83.1,2006.0,2.0,2.0,职高小区$,金州,光明$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
149,178.0,19487.6,简,91.34,2015.0,3.0,2.0,中铁诺德滨海花园$,高新园区,七贤岭$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,1,1,0,0,0,1
35,149.8,14549.3,精,102.96,2013.0,3.0,2.0,枫丹丽城$,甘井子,泉水美域盛景$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,0,1,1,0,0,0,0,1
68,86.6,13081.6,精,66.2,2008.0,2.0,1.0,水映西山$,甘井子,万科假日$,塔楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,0,0,0,1,1
227,97.0,13566.4,精,71.5,2005.0,2.0,1.0,锦泉源D2区$,甘井子,泉水锦泉源$,板楼$,钢混,0.2,2.0,10.0,70.0,平层,0,1,1,1,1,1,0,0,1,1
98,29.5,4126.5,毛,71.49,,2.0,1.0,翠岫联芳$,旅顺口,旅顺口$,板楼$,钢混,16.0,16.0,1.0,70.0,平层,0,0,0,0,1,0,0,0,1,0
13,133.0,12116.2,简,109.77,2000.0,3.0,2.0,红旗东路$,甘井子,马栏$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
54,93.0,12043.5,精,77.22,2014.0,2.0,2.0,万科樱花园$,旅顺口,龙王塘$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,0,0,0,0,1,1
150,210.0,25149.7,精,83.5,2011.0,2.0,1.0,东方圣克拉二期$,高新园区,庙岭$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,0,0,0,0,1,1
20,116.0,11800.6,毛,98.3,1997.0,2.0,2.0,卧龙双厦$,西岗,青云街$,板楼$,钢混,0.25,2.0,8.0,70.0,平层,0,0,1,0,1,1,0,0,1,0
46,85.0,9066.7,毛,93.75,2009.0,2.0,2.0,泉水N1区$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,3.0,6.0,70.0,平层,0,1,1,1,1,0,0,0,0,0
57,81.5,13581.1,精,60.01,2000.0,2.0,1.0,前程街$,甘井子,马栏$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,1,0,0,1
36,273.0,19008.5,简,143.62,2003.0,3.0,2.0,清华园(中山)$,中山,二七$,板楼$,框架,0.5,1.0,2.0,70.0,错层,0,1,1,0,1,1,0,0,1,0
104,131.0,15913.5,精,82.32,2011.0,2.0,2.0,中冶蓝城D区$,甘井子,生态新城$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,1,0,0,0
69,48.0,6240.2,简,76.92,2001.0,2.0,1.0,芙蓉花园(开发区)$,开发区,东山$,板楼$,钢混,0.06666666666666668,1.0,15.0,50.0,平层,0,0,1,0,1,1,0,0,0,1
18,78.0,7098.0,毛,109.89,2015.0,2.0,2.0,世茂御龙海湾$,金州,金州其他$,未知$,钢混,0.0,0.0,0.0,70.0,跃层,0,0,1,0,1,0,1,0,1,1
10,115.0,13719.9,精,83.82,2007.0,2.0,1.0,祥和花园$,甘井子,南关岭$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,0,0,1,0
53,83.0,16236.3,简,51.12,2004.0,1.0,1.0,亲亲家园$,甘井子,西山水库$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,0,0,0,0,1,0
75,62.8,9654.1,简,65.05,1993.0,2.0,1.0,侯二小区$,沙河口,侯家沟$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,0,0,0,0,1,1
4,80.0,10579.2,精,75.62,1995.0,2.0,1.0,宏孚小区$,甘井子,华东$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
131,61.2,13021.3,精,47.0,2012.0,1.0,0.0,泛华领城$,中山,三八北$,板楼$,钢混,0.25,6.0,24.0,70.0,平层,0,1,1,0,1,0,0,0,0,1
63,93.0,11034.6,精,84.28,2009.0,2.0,1.0,泉水N3区$,甘井子,泉水龙畔金泉$,板楼$,砖混,0.5,2.0,4.0,70.0,平层,0,1,1,1,1,1,0,0,0,0
76,62.5,12131.2,精,51.52,1990.0,2.0,1.0,由家村$,高新园区,软件园$,板楼$,钢混,0.2,1.0,5.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
83,85.0,18478.3,精,46.0,1995.0,2.0,1.0,39中民建街$,中山,三八南$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
208,107.0,12679.2,精,84.39,2009.0,1.0,1.0,港湾壹号$,中山,三八北$,塔楼$,钢混,0.2,3.0,15.0,70.0,平层,0,1,1,0,0,0,0,0,1,1
71,87.0,13809.5,精,63.0,2005.0,2.0,1.0,锦泉源D2区$,甘井子,泉水锦泉源$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,0,1,1,1,0,0,1,1
62,89.5,9913.6,简,90.28,2010.0,2.0,1.0,热岛黄金海岸$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,0.0,平层,1,0,1,0,1,1,1,1,0,0
69,70.9,7803.2,精,90.86,2009.0,2.0,1.0,新希望家园$,金州,城润$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,跃层,0,0,1,1,1,1,0,0,0,0
50,79.0,15064.8,精,52.44,2011.0,2.0,1.0,润德广场$,西岗,北京公园$,塔楼$,钢混,0.25,6.0,24.0,70.0,平层,0,1,1,0,0,0,0,0,1,1
44,265.0,18749.1,简,141.34,2003.0,3.0,2.0,中华名城$,西岗,八一路$,板楼$,框架,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1
224,125.0,14450.9,简,86.5,2006.0,2.0,1.0,阳光月秀$,沙河口,阳光月秀$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,1,1,0,1,1
